"CBO2002";"TITULO"
"111220";"Secretário - executivo"
"111230";"Governador de estado"
"111235";"Governador do distrito federal"
"111245";"Vice-governador do distrito federal"
"111250";"Prefeito"
"111255";"Vice-prefeito"
"111240";"Vice-governador de estado"
"111310";"Ministro do superior tribunal de justiça"
"111335";"Juiz auditor federal - justiça militar"
"111315";"Ministro do  superior tribunal militar"
"113015";"Membro de liderança quilombola"
"113010";"Líder de comunidade caiçara"
"114205";"Dirigentes de entidades de trabalhadores"
"122120";"Diretor de produção e operações em empresa pesqueira"
"122110";"Diretor de produção e operações em empresa aqüícola"
"122115";"Diretor de produção e operações em empresa florestal"
"122305";"Diretor de operações de obras pública e civil"
"122505";"Diretor de  produção e operações de alimentação"
"122730";"Diretor de crédito (exceto crédito imobiliário)"
"122720";"Diretor de câmbio e comércio exterior"
"123405";"Diretor de suprimentos"
"123705";"Diretor de pesquisa e desenvolvimento (p&d)"
"142345";"Profissional de relações institucionais e governamentais"
"142340";"Ouvidor"
"201225";"Especialista em materiais de referência metrológica"
"203110";"Pesquisador em ciências da terra e meio ambiente"
"214345";"Engenheiro projetista de telecomunicações"
"215110";"Capitão de manobra da marinha mercante"
"215125";"Imediato da marinha mercante"
"215150";"Vistoriador naval"
"215215";"Segundo oficial de máquinas da marinha mercante"
"223570";"Perfusionista"
"224110";"Ludomotricista"
"225175";"Médico geneticista"
"225105";"Médico acupunturista"
"225210";"Médico cirurgião cardiovascular"
"234915";"Professor de música no ensino superior"
"239425";"Psicopedagogo"
"252315";"Secretária trilíngüe"
"253135";"Diretor de contas (publicidade)"
"253210";"Gerente de clientes especiais (private)"
"253215";"Gerente de contas - pessoa física e jurídica"
"253220";"Gerente de grandes contas (corporate)"
"254105";"Auditor-fiscal da receita federal"
"254205";"Auditor-fiscal da previdência social"
"254305";"Auditor-fiscal do trabalho"
"254410";"Fiscal de tributos municipal"
"261615";"Editor de mídia eletrônica"
"261605";"Editor de jornal"
"261905";"Continuista"
"262820";"Dramaturgo de dança"
"300110";"Técnico em mecatrônica - robótica"
"314405";"Técnico de manutenção de sistemas e instrumentos"
"317210";"Técnico de apoio ao usuário de informática (helpdesk)"
"322135";"Doula"
"332105";"Professor leigo no ensino fundamental"
"334105";"Inspetor de alunos de escola privada"
"341210";"Mestre de cabotagem"
"341205";"Contramestre de cabotagem"
"341305";"Condutor maquinista motorista fluvial"
"374410";"Finalizador de filmes"
"424110";"Entrevistador de pesquisa de opinião e mídia"
"424115";"Entrevistador de pesquisas de mercado"
"514310";"Auxiliar de manutenção predial"
"515130";"Agente indígena de saneamento"
"515210";"Auxiliar de farmácia de manipulação"
"612115";"Produtor de cereais de inverno"
"612210";"Produtor de curauá"
"612225";"Produtor de sisal"
"725025";"Ajustador naval (reparo e construção)"
"725510";"Operador de time de montagem"
"731325";"Instalador-reparador de redes e cabos telefônicos"
"731310";"Instalador-reparador de equipamentos de energia em telefonia"
"763315";"Marcador de peças confeccionadas para bordar"
"766140";"Gravador de matriz serigráfica"
"782730";"Marinheiro auxiliar de convés (marítimo e aquaviario)"
"782725";"Marinheiro de esporte e recreio"
"782735";"Marinheiro auxiliar de máquinas (marítimo e aquaviário)"
"782815";"Boiadeiro"
"782820";"Condutor de veículos a pedais"
"782805";"Condutor de veículos de tração animal (ruas e estradas)"
"782810";"Tropeiro"
"783240";"Amarrador e desamarrado de embarcações"
"783235";"Trabalhador portuário de capatazia"
"783230";"Bloqueiro (trabalhador portuário)"
"791105";"Artesão bordador"
"791110";"Artesão ceramista"
"791115";"Artesão com material reciclável"
"791120";"Artesão confeccionador de biojóias e ecojóias"
"791125";"Artesão do couro"
"791160";"Artesão rendeiro"
"791135";"Artesão moveleiro (exceto reciclado)"
"791140";"Artesão tecelão"
"791145";"Artesão trançador"
"791150";"Artesão crocheteiro"
"791155";"Artesão tricoteiro"
"791130";"Artesão escultor"
"810305";"Mestre de produção farmacêutica"
"811010";"Operador de sala de controle de instalações químicas, petroquímicas e afins"
"811325";"Operador de filtro-esteira (mineração)"
"811640";"Operador de reator de coque de petróleo"
"811805";"Operador de máquina de produtos farmacêuticos"
"811820";"Operador de máquina de fabricação de produtos de higiene e limpeza (sabão, sabonete, detergente, absorvente, fraldas cotonetes e outros)"
"811815";"Operador de máquina de fabricação de cosméticos"
"812110";"Trabalhador da fabricação de munição e explosivos"
"813110";"Operador de calandra (química, petroquímica e afins)"
"813130";"Técnico de operação (química, petroquímica e afins)"
"813120";"Operador de processo (química, petroquímica e afins)"
"813115";"Operador de extrusora (química, petroquímica e afins)"
"813105";"Cilindrista (petroquímica e afins)"
"820105";"Mestre de siderurgia"
"820210";"Supervisor de fabricação de produtos de vidro"
"821105";"Operador de centro de controle"
"823135";"Operador de atomizador"
"842135";"Operador de máquina de preparação de matéria prima para produção de cigarros"
"842120";"Auxiliar de processamento de fumo"
"842205";"Preparador de fumo na fabricação de charutos"
"842225";"Celofanista na fabricação de charutos"
"842235";"Degustador de charutos"
"860105";"Supervisor de manutenção eletromecânica (utilidades)"
"860110";"Supervisor de operação de fluidos (distribuição, captação, tratamento de água, gases, vapor)"
"860115";"Supervisor de operação elétrica (geração, transmissão e distribuição de energia elétrica)"
"862160";"Operador de abastecimento de combustível de aeronave"
"862510";"Operador de refrigeração com amônia"
"910105";"Encarregado de manutenção mecânica de sistemas operacionais"
"910120";"Supervisor de manutenção de máquinas gráficas"
"910125";"Supervisor de manutenção de máquinas industriais têxteis"
"910205";"Supervisor da manutenção e reparação de veículos leves"
"910210";"Supervisor da manutenção e reparação de veículos pesados"
"910905";"Supervisor de reparos linhas férreas"
"911125";"Mecânico de manutenção de redutores"
"911115";"Mecânico de manutenção de compressores de ar"
"911135";"Mecânico de manutenção de turbocompressores"
"915205";"Restaurador de instrumentos musicais (exceto cordas arcadas)"
"915215";"Luthier (restauração de cordas arcadas)"
"915305";"Técnico em manutenção de equipamentos e instrumentos médico-hospitalares"
"919205";"Mecânico de manutenção de máquinas cortadoras de grama, roçadeiras, motosserras e similares"
"919305";"Mecânico de manutenção de aparelhos esportivos e de ginástica"
"950205";"Encarregado de manutenção elétrica de veículos"
