"Cod_Mun","Porcent"
"350250",0.754205873966353
"350315",0.651685393258427
"350350",0.814285714285714
"350490",0.804081632653061
"350850",0.794857096060929
"350860",0.781560283687943
"350970",0.668387326450694
"350995",0.706070287539936
"351050",0.705428226779252
"351340",0.717504850022385
"351360",0.832162921348315
"351840",0.563127819548872
"352020",0.768339768339768
"352040",0.720291294273419
"352440",0.75116228388784
"352490",0.489459211732356
"352630",0.761565836298932
"352660",0.695652173913043
"352720",0.67546254170458
"353170",0.709327548806941
"353230",0.838174273858921
"353560",0.845720720720721
"353800",0.750207370541533
"353850",0.763125763125763
"354075",0.7280163599182
"354190",0.829187396351575
"354230",0.83921568627451
"354430",0.696439348219674
"354600",0.792713567839196
"354820",0.620300751879699
"354860",0.853932584269663
"354960",0.864468864468865
"354990",0.690135942606308
"355000",0.754139072847682
"355070",0.66581147066126
"355200",0.778523489932886
"355410",0.729948246835575
"355480",0.696562032884903
"355540",0.729944400317712
